budget,id,language,popularity,release_date,revenue,runtime,status,title,vote_avg,vote_count,genres_1,genres_2,genres_3,genres_4,genres_5,pro_com_1,pro_com_2,pro_com_3,pro_com_4,pro_coun_1,pro_coun_2,pro_coun_3
200000000,58,English,145.847379,20-06-2006,1065659812,02:31,Released,Pirates of the Caribbean: Dead Man's Chest,7,5246,Adventure,Fantasy,Action,,,Walt Disney Pictures,Jerry Bruckheimer Films,Second Mate Productions,,Jamaica,United States of America,Bahamas
255000000,57201,English,49.046956,03-07-2013,89289910,02:29,Released,The Lone Ranger,5.9,2311,Action,Adventure,Western,,,Walt Disney Pictures,Jerry Bruckheimer Films,Infinitum Nihil,Silver Bullet Productions (II),United States of America,,
225000000,49521,English,99.398009,12-06-2013,662845518,02:23,Released,Man of Steel,6.5,6359,Action,Adventure,Fantasy,Science Fiction,,Legendary Pictures,Warner Bros.,DC Entertainment,Syncopy,United Kingdom,United States of America,
225000000,2454,English,53.978602,15-05-2008,419651413,02:30,Released,The Chronicles of Narnia: Prince Caspian,6.3,1630,Adventure,Family,Fantasy,,,Walt Disney,Walden Media,Stillking Films,Ozumi Films,Czech Republic,Poland,Slovenia
220000000,24428,English,144.448633,25-04-2012,1519557910,02:23,Released,The Avengers,7.4,11776,Science Fiction,Action,Adventure,,,Paramount Pictures,Marvel Studios,,,United States of America,,
380000000,1865,English,135.413856,14-05-2011,1045713802,02:16,Released,Pirates of the Caribbean: On Stranger Tides,6.4,4948,Adventure,Action,Fantasy,,,Walt Disney Pictures,Jerry Bruckheimer Films,Moving Picture Company (MPC),,United States of America,,
225000000,41154,English,52.035179,23-05-2012,624026776,01:46,Released,Men in Black 3,6.2,4160,Action,Comedy,Science Fiction,,,Amblin Entertainment,Media Magik Entertainment,Imagenation Abu Dhabi FZ,Hemisphere Media Capital,United States of America,,
250000000,122917,English,120.965743,10-12-2014,956019788,02:24,Released,The Hobbit: The Battle of the Five Armies,7.1,4760,Action,Adventure,Fantasy,,,WingNut Films,New Line Cinema,Warner Bros. Pictures,3Foot7,New Zealand,United States of America,
215000000,1930,English,89.866276,27-06-2012,752215857,02:16,Released,The Amazing Spider-Man,6.5,6586,Action,Adventure,Fantasy,,,Columbia Pictures,Laura Ziskin Productions,Marvel Entertainment,,United States of America,,
200000000,20662,English,37.668301,12-05-2010,310669540,02:20,Released,Robin Hood,6.2,1398,Action,Adventure,,,,Imagine Entertainment,Universal Pictures,Scott Free Productions,Relativity Media,United Kingdom,United States of America,
250000000,57158,English,94.370564,11-12-2013,958400000,02:41,Released,The Hobbit: The Desolation of Smaug,7.6,4524,Adventure,Fantasy,,,,WingNut Films,New Line Cinema,Warner Bros. Pictures,Metro-Goldwyn-Mayer (MGM),New Zealand,United States of America,
180000000,2268,English,42.990906,04-12-2007,372234864,01:53,Released,The Golden Compass,5.8,1303,Adventure,Fantasy,,,,New Line Cinema,Ingenious Film Partners,Depth of Field,Scholastic Productions,United Kingdom,United States of America,
207000000,254,English,61.22601,14-12-2005,550000000,03:07,Released,King Kong,6.6,2337,Adventure,Drama,Action,,,WingNut Films,Universal Pictures,Big Primate Pictures,MFPV Film,New Zealand,United States of America,Germany
200000000,597,English,100.025899,18-11-1997,1845034188,03:14,Released,Titanic,7.5,7562,Drama,Romance,Thriller,,,Paramount Pictures,Twentieth Century Fox Film Corporation,Lightstorm Entertainment,,United States of America,,
250000000,271110,English,198.372395,27-04-2016,1153304495,02:27,Released,Captain America: Civil War,7.1,7241,Adventure,Action,Science Fiction,,,Studio Babelsberg,Marvel Studios,Walt Disney Studios Motion Pictures,Vita-Ray Dutch Productions (III),United States of America,,
209000000,44833,English,64.928382,11-04-2012,303025485,02:11,Released,Battleship,5.5,2114,Thriller,Action,Adventure,Science Fiction,,Universal Pictures,Hasbro,Bluegrass Films,Film 44,United States of America,,
150000000,135397,English,418.708552,09-06-2015,1513528810,02:04,Released,Jurassic World,6.5,8662,Action,Adventure,Science Fiction,Thriller,,Universal Studios,Amblin Entertainment,Legendary Pictures,Fuji Television Network,United States of America,,
200000000,37724,English,93.004993,25-10-2012,1108561013,02:23,Released,Skyfall,6.9,7604,Action,Adventure,Thriller,,,Columbia Pictures,,,,United Kingdom,United States of America,
200000000,558,English,35.149586,25-06-2004,783766341,02:07,Released,Spider-Man 2,6.7,4321,Action,Adventure,Fantasy,,,Columbia Pictures,Laura Ziskin Productions,Marvel Enterprises,,United States of America,,
200000000,68721,English,77.68208,18-04-2013,1215439994,02:10,Released,Iron Man 3,6.8,8806,Action,Adventure,Science Fiction,,,Marvel Studios,,,,China,United States of America,
200000000,12155,English,78.530105,03-03-2010,1025491110,01:48,Released,Alice in Wonderland,6.4,4645,Family,Fantasy,Adventure,,,Walt Disney Pictures,Team Todd,Tim Burton Productions,Roth Films,United States of America,,
210000000,36668,English,3.857526,24-05-2006,459359555,01:44,Released,X-Men: The Last Stand,6.3,3525,Adventure,Action,Science Fiction,Thriller,,Ingenious Film Partners,Twentieth Century Fox Film Corporation,Donners' Company,Dune Entertainment,Canada,United Kingdom,United States of America
200000000,62211,English,89.186492,20-06-2013,743559607,01:44,Released,Monsters University,7,3528,Animation,Family,,,,Walt Disney Pictures,Pixar Animation Studios,,,United States of America,,
150000000,8373,English,21.939663,19-06-2009,836297228,02:30,Released,Transformers: Revenge of the Fallen,6,3138,Science Fiction,Action,Adventure,,,Paramount Pictures,DreamWorks SKG,Amblin Entertainment,Di Bonaventura Pictures,United States of America,,
210000000,91314,English,116.840296,25-06-2014,1091405097,02:45,Released,Transformers: Age of Extinction,5.8,3095,Science Fiction,Action,Adventure,,,Paramount Pictures,Amblin Entertainment,Di Bonaventura Pictures,Platinum Dunes,United States of America,,
200000000,68728,English,46.985445,07-03-2013,491868548,02:10,Released,Oz: The Great and Powerful,5.7,3530,Fantasy,Adventure,Family,,,Walt Disney Pictures,Roth Films,,,United States of America,,
200000000,102382,English,89.270217,16-04-2014,705717432,02:22,Released,The Amazing Spider-Man 2,6.5,4179,Action,Adventure,Fantasy,,,Columbia Pictures,Marvel Enterprises,Avi Arad Productions,Matt Tolmach Productions,United States of America,,
170000000,20526,English,73.79505,10-12-2010,400062763,02:05,Released,TRON: Legacy,6.3,2841,Adventure,Action,Science Fiction,,,Walt Disney Pictures,LivePlanet,Prana Studios,Sean Bailey Productions,United States of America,,
200000000,49013,English,49.98659,11-06-2011,559852396,01:46,Released,Cars 2,5.8,2033,Animation,Family,Adventure,Comedy,,Walt Disney Pictures,Pixar Animation Studios,,,United States of America,,
200000000,44912,English,51.872839,16-06-2011,219851172,01:54,Released,Green Lantern,5.1,2487,Adventure,Action,Thriller,Science Fiction,,De Line Pictures,Warner Bros.,DC Entertainment,,United States of America,,
200000000,10193,English,59.995418,16-06-2010,1066969703,01:43,Released,Toy Story 3,7.6,4597,Animation,Family,Comedy,,,Walt Disney Pictures,Pixar Animation Studios,,,United States of America,,
200000000,534,English,71.862892,20-05-2009,371353001,01:55,Released,Terminator Salvation,5.9,2463,Action,Science Fiction,Thriller,,,Columbia Pictures,The Halcyon Company,Wonderland Sound and Vision,Warner Bros.,Germany,Italy,United Kingdom
190000000,168259,English,102.322217,01-04-2015,1506249360,02:17,Released,Furious 7,7.3,4176,Action,,,,,Universal Pictures,Original Film,Fuji Television Network,Dentsu,Japan,United States of America,
200000000,72190,English,81.834855,20-06-2013,531865000,01:56,Released,World War Z,6.7,5560,Action,Drama,Horror,Science Fiction,Thriller,Paramount Pictures,GK Films,Skydance Productions,Hemisphere Media Capital,United States of America,Malta,
250000000,127585,English,118.078691,15-05-2014,747862775,02:11,Released,X-Men: Days of Future Past,7.5,6032,Action,Adventure,Fantasy,Science Fiction,,Twentieth Century Fox Film Corporation,Donners' Company,Marvel Entertainment,Bad Hat Harry Productions,United Kingdom,United States of America,
190000000,54138,English,78.291018,05-05-2013,467365246,02:12,Released,Star Trek Into Darkness,7.4,4418,Action,Adventure,Science Fiction,,,Paramount Pictures,Skydance Productions,Bad Robot,Kurtzman/Orci,United States of America,,
195000000,81005,English,43.349855,27-02-2013,197687603,01:54,Released,Jack the Giant Slayer,5.5,2598,Action,Family,Fantasy,,,New Line Cinema,Original Film,Legendary Pictures,Warner Bros.,United States of America,,
105000000,64682,English,61.196071,10-05-2013,351040419,02:23,Released,The Great Gatsby,7.3,3769,Drama,Romance,,,,Village Roadshow Pictures,Bazmark Films,Warner Bros.,A&E Television Networks,United States of America,Australia,
150000000,9543,English,62.169881,19-05-2010,335154643,01:56,Released,Prince of Persia: The Sands of Time,6.2,2317,Adventure,Fantasy,Action,Romance,,Walt Disney Pictures,Jerry Bruckheimer Films,,,United States of America,,
180000000,68726,English,56.523205,11-07-2013,407602906,02:11,Released,Pacific Rim,6.7,4794,Action,Science Fiction,Adventure,,,Legendary Pictures,Warner Bros.,Disney Double Dare You (DDY),Indochina Productions,United States of America,Canada,
195000000,38356,English,28.529607,28-06-2011,1123746996,02:34,Released,Transformers: Dark of the Moon,6.1,3299,Action,Science Fiction,Adventure,,,Paramount Pictures,Di Bonaventura Pictures,Indochina Productions,Hasbro Studios,United States of America,,
185000000,217,English,75.674458,21-05-2008,786636033,02:02,Released,Indiana Jones and the Kingdom of the Crystal Skull,5.7,2495,Adventure,Action,,,,Lucasfilm,Paramount Pictures,,,United States of America,,
175000000,105864,English,51.692953,14-11-2015,331926147,01:33,Released,The Good Dinosaur,6.6,1736,Adventure,Animation,Family,,,Walt Disney Pictures,Pixar Animation Studios,,,United States of America,,
185000000,62177,English,125.114374,21-06-2012,538983207,01:33,Released,Brave,6.7,4641,Animation,Adventure,Comedy,Family,Action,Walt Disney Pictures,Pixar Animation Studios,,,United States of America,,
185000000,188927,English,65.352913,07-07-2016,343471816,02:02,Released,Star Trek Beyond,6.6,2568,Action,Adventure,Science Fiction,,,Paramount Pictures,Bad Robot,Perfect Storm Entertainment,Alibaba Pictures Group,United States of America,,
180000000,10681,English,66.390712,22-06-2008,521311860,01:38,Released,WALL·E,7.8,6296,Animation,Family,,,,Walt Disney Pictures,Pixar Animation Studios,FortyFour Studios,,United States of America,,
140000000,5174,English,22.57178,08-08-2007,258022233,01:31,Released,Rush Hour 3,6.1,783,Action,Comedy,Crime,Thriller,,New Line Cinema,,,,United States of America,,
200000000,14161,English,45.274225,10-10-2009,769653595,02:38,Released,2012,5.6,4903,Action,Adventure,Science Fiction,,,Columbia Pictures,Centropolis Entertainment,The Mark Gordon Company,Farewell Productions,Canada,United States of America,
200000000,17979,English,39.744242,04-11-2009,325233863,01:36,Released,A Christmas Carol,6.6,1095,Animation,Drama,,,,Walt Disney,ImageMovers,,,United States of America,,
176000003,76757,English,85.36908,04-02-2015,183987723,02:04,Released,Jupiter Ascending,5.2,2768,Science Fiction,Fantasy,Action,Adventure,,Village Roadshow Pictures,Dune Entertainment,Anarchos Productions,Warner Bros.,United States of America,,
180000000,258489,English,42.741719,29-06-2016,356743061,01:49,Released,The Legend of Tarzan,5.5,2430,Action,Adventure,,,,Village Roadshow Pictures,Dark Horse Entertainment,Jerry Weintraub Productions,RatPac-Dune Entertainment,Canada,United Kingdom,United States of America
180000000,411,English,67.391328,07-12-2005,748806957,02:23,Released,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.7,2629,Adventure,Family,Fantasy,,,Walt Disney,Walden Media,,,United Kingdom,United States of America,
178000000,246655,English,139.272042,18-05-2016,543934787,02:24,Released,X-Men: Apocalypse,6.4,4721,Science Fiction,,,,,Twentieth Century Fox Film Corporation,Donners' Company,Marvel Entertainment,Bad Hat Harry Productions,United States of America,,
185000000,155,English,187.322927,16-07-2008,1004558444,02:32,Released,The Dark Knight,8.2,12002,Drama,Action,Crime,Thriller,,DC Comics,Legendary Pictures,Warner Bros.,DC Entertainment,United Kingdom,United States of America,
175000000,14160,English,92.201962,13-05-2009,735099082,01:36,Released,Up,7.7,6870,Animation,Comedy,Family,Adventure,,Pixar Animation Studios,,,,United States of America,,
175000000,15512,English,36.167578,19-03-2009,381509870,01:34,Released,Monsters vs Aliens,6,1423,Animation,Family,Adventure,Science Fiction,,DreamWorks Animation,,,,United States of America,,
140000000,1726,English,120.725053,30-04-2008,585174222,02:06,Released,Iron Man,7.4,8776,Action,Science Fiction,Adventure,,,Marvel Studios,,,,United States of America,,
170000000,44826,English,32.319043,22-11-2011,185770160,02:06,Released,Hugo,7,2141,Adventure,Drama,Family,,,Paramount Pictures,Infinitum Nihil,GK Films,,France,United States of America,United Kingdom
170000000,8487,English,40.748915,29-06-1999,222104681,01:46,Released,Wild Wild West,5.1,1020,Action,Adventure,Comedy,Science Fiction,Western,"Todman, Simon, LeMasters Productions",Warner Bros.,Peters Entertainment,Sonnenfeld Josephson Worldwide Entertainment,United States of America,,
145000000,1735,English,60.034162,01-07-2008,401128639,01:52,Released,The Mummy: Tomb of the Dragon Emperor,5.2,1387,Adventure,Action,Fantasy,,,Universal Pictures,China Film Co-Production Corporation,Relativity Media,Alphaville Films,Germany,United States of America,
175000000,297761,English,90.23792,02-08-2016,745000000,02:03,Released,Suicide Squad,5.9,7458,Action,Adventure,Crime,Fantasy,Science Fiction,DC Comics,Dune Entertainment,Atlas Entertainment,Warner Bros.,United States of America,,
175000000,2698,English,27.082182,09-06-2007,173000000,01:36,Released,Evan Almighty,5.3,1151,Fantasy,Comedy,Family,,,Columbia Pictures,Universal Pictures,Spyglass Entertainment,Shady Acres Entertainment,United States of America,,
178000000,137113,English,79.456485,27-05-2014,370541256,01:53,Released,Edge of Tomorrow,7.6,4858,Action,Science Fiction,,,,Village Roadshow Pictures,Warner Bros.,Viz Media,Province of British Columbia Production Services Tax Credit,Australia,United States of America,
175000000,9804,English,44.640292,28-07-1995,264218220,02:15,Released,Waterworld,5.9,992,Adventure,Action,,,,Universal Pictures,Gordon Company,Davis Entertainment,Licht/Mueller Film Corporation,United States of America,,
175000000,14869,English,32.852443,04-08-2009,302469017,01:58,Released,G.I. Joe: The Rise of Cobra,5.6,1962,Adventure,Action,Thriller,Science Fiction,,Paramount Pictures,Spyglass Entertainment,Di Bonaventura Pictures,Hasbro,Czech Republic,United States of America,
175000000,150540,English,128.655964,09-06-2015,857611174,01:34,Released,Inside Out,8,6560,Drama,Comedy,Animation,Family,,Walt Disney Pictures,Pixar Animation Studios,,,United States of America,,
175000000,278927,English,94.199316,07-04-2016,966550600,01:46,Released,The Jungle Book,6.7,2892,Family,Adventure,Drama,Fantasy,,Walt Disney Pictures,Walt Disney Studios Motion Pictures,Fairview Entertainment,Moving Picture Company (MPC),United Kingdom,United States of America,
200000000,10138,English,77.300194,28-04-2010,623933331,02:04,Released,Iron Man 2,6.6,6849,Adventure,Action,Science Fiction,,,Marvel Studios,,,,United States of America,,
170000000,58595,English,77.178973,30-05-2012,396600000,02:07,Released,Snow White and the Huntsman,5.8,3118,Adventure,Fantasy,Drama,,,Universal Pictures,Roth Films,,,United States of America,,
180000000,102651,English,110.620647,28-05-2014,758539785,01:37,Released,Maleficent,7,4496,Fantasy,Adventure,Action,Family,Romance,Walt Disney Pictures,Walt Disney Studios Motion Pictures,Roth Films,,United States of America,,
170000000,119450,English,243.791743,26-06-2014,710644566,02:10,Released,Dawn of the Planet of the Apes,7.3,4410,Science Fiction,Action,Drama,Thriller,,Ingenious Media,Chernin Entertainment,TSG Entertainment,,United States of America,,
27000000,79698,English,2.418535,13-02-2015,0,01:49,Released,The Lovers,4.8,34,Action,Adventure,Science Fiction,Romance,,Corsan,Bliss Media,Limelight International Media Entertainment,Neelmudra Entertainment,Australia,Belgium,India
175000000,64686,English,41.796339,06-12-2013,150962475,01:59,Released,47 Ronin,5.9,1326,Drama,Action,Adventure,Fantasy,,Mid Atlantic Films,Stuber Productions,Universal,Moving Picture Company (MPC),United States of America,,
170000000,100402,English,72.225265,20-03-2014,714766572,02:16,Released,Captain America: The Winter Soldier,7.6,5764,Action,Adventure,Science Fiction,,,Marvel Studios,,,,United States of America,,
165000000,10192,English,44.041186,16-05-2010,752600867,01:33,Released,Shrek Forever After,6,1959,Comedy,Adventure,Fantasy,Animation,Family,DreamWorks Animation,,,,United States of America,,
190000000,158852,English,130.311355,19-05-2015,209154322,02:10,Released,Tomorrowland,6.2,2846,Adventure,Family,Mystery,Science Fiction,,Walt Disney Pictures,Babieka,A113,,United States of America,,
165000000,177572,English,203.73459,24-10-2014,652105443,01:42,Released,Big Hero 6,7.8,6135,Adventure,Family,Animation,Action,Comedy,Walt Disney Pictures,Walt Disney Animation Studios,,,United States of America,,
165000000,82690,English,62.341073,01-11-2012,471222889,01:48,Released,Wreck-It Ralph,7.1,4570,Family,Animation,Comedy,Adventure,,Walt Disney Animation Studios,,,,United States of America,,
165000000,5255,English,47.323228,10-11-2004,305875730,01:40,Released,The Polar Express,6.4,1474,Adventure,Animation,Family,Fantasy,,Golden Mean,Playtone,ImageMovers,,United States of America,,
165000000,47933,English,48.775723,22-06-2016,389681935,02:00,Released,Independence Day: Resurgence,4.9,2491,Action,Adventure,Science Fiction,,,Twentieth Century Fox Film Corporation,Centropolis Entertainment,TSG Entertainment,Stereo D,United States of America,,
165000000,10191,English,67.263269,05-03-2010,494878759,01:38,Released,How to Train Your Dragon,7.5,4227,Fantasy,Adventure,Animation,Family,,DreamWorks Animation,Vertigo Entertainment,Mad Hatter Entertainment,,United States of America,,
200000000,296,English,69.405188,02-07-2003,435000000,01:49,Released,Terminator 3: Rise of the Machines,5.9,2143,Action,Thriller,Science Fiction,,,Columbia Pictures,Intermedia Films,Warner Bros.,C-2 Pictures,Germany,United Kingdom,United States of America
170000000,118340,English,481.098624,30-07-2014,773328629,02:01,Released,Guardians of the Galaxy,7.9,9742,Action,Science Fiction,Adventure,,,Marvel Studios,Moving Picture Company (MPC),Bulletproof Cupid,Revolution Sun Studios,United Kingdom,United States of America,
165000000,157336,English,724.247784,05-11-2014,675120017,02:49,Released,Interstellar,8.1,10867,Adventure,Drama,Science Fiction,,,Paramount Pictures,Legendary Pictures,Warner Bros.,Syncopy,Canada,United States of America,United Kingdom
160000000,27205,English,167.58371,14-07-2010,825532764,02:28,Released,Inception,8.1,13752,Action,Thriller,Science Fiction,Mystery,Adventure,Legendary Pictures,Warner Bros.,Syncopy,,United Kingdom,United States of America,
15000000,315011,Japanese,9.476999,29-07-2016,77000000,02:00,Released,Shin Godzilla,6.5,143,Action,Adventure,Drama,Horror,Science Fiction,Cine Bazar,Toho Pictures,,,Japan,,
250000000,49051,English,108.849621,26-11-2012,1021103568,02:49,Released,The Hobbit: An Unexpected Journey,7,8297,Adventure,Fantasy,Action,,,WingNut Films,New Line Cinema,Warner Bros. Pictures,Metro-Goldwyn-Mayer (MGM),New Zealand,United States of America,
38000000,9799,English,6.909942,22-06-2001,207283925,01:46,Released,The Fast and the Furious,6.6,3428,Action,Crime,Thriller,,,Universal Pictures,Original Film,Ardustry Entertainment,Mediastream Film GmbH & Co. Productions KG,Germany,United States of America,
150000000,4922,English,60.269279,24-11-2008,333932083,02:46,Released,The Curious Case of Benjamin Button,7.3,3292,Fantasy,Drama,Thriller,Mystery,Romance,Paramount Pictures,Warner Bros.,"Kennedy/Marshall Company, The",,United States of America,,
160000000,49538,English,3.195174,24-05-2011,353624124,02:12,Released,X-Men: First Class,7.1,5181,Action,Science Fiction,Adventure,,,Ingenious Film Partners,Ingenious Media,Twentieth Century Fox Film Corporation,Donners' Company,United States of America,,
160000000,131634,English,127.284427,18-11-2015,653428261,02:17,Released,The Hunger Games: Mockingjay - Part 2,6.6,3984,Action,Adventure,Science Fiction,,,Studio Babelsberg,Lionsgate,Color Force,,Germany,United States of America,
150000000,27022,English,35.580815,13-07-2010,215283742,01:49,Released,The Sorcerer's Apprentice,5.8,1470,Fantasy,Adventure,Action,Comedy,Drama,Walt Disney Pictures,Jerry Bruckheimer Films,Saturn Films,Broken Road Productions,United States of America,,
160000000,503,English,21.133748,12-05-2006,181674817,01:39,Released,Poseidon,5.5,583,Adventure,Action,Drama,Thriller,,Virtual Studios,Next Entertainment,Warner Bros.,Irwin Allen Productions,United States of America,,
170000000,241259,English,56.268916,25-05-2016,299370084,01:53,Released,Alice Through the Looking Glass,6.5,1725,Fantasy,,,,,Walt Disney Pictures,Team Todd,Tim Burton Productions,Roth Films,United Kingdom,United States of America,
160000000,810,English,42.986467,17-05-2007,798958165,01:33,Released,Shrek the Third,6,2278,Fantasy,Adventure,Animation,Comedy,Family,DreamWorks SKG,DreamWorks Animation,,,United States of America,,
160000000,68735,English,63.148529,25-05-2016,433677183,02:03,Released,Warcraft,6.3,2268,Action,Adventure,Fantasy,,,Universal Pictures,Atlas Entertainment,Legendary Pictures,Blizzard Entertainment,Canada,China,Japan
155000000,87101,English,202.042635,23-06-2015,440603537,02:06,Released,Terminator Genisys,5.8,3631,Science Fiction,Action,Thriller,Adventure,,Paramount Pictures,Annapurna Pictures,Skydance Media,,United States of America,,
155000000,10140,English,49.661984,13-08-2010,415686217,01:53,Released,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.2,1514,Adventure,Family,Fantasy,,,Dune Entertainment,Fox 2000 Pictures,Walden Media,,United States of America,,
140000000,676,English,34.20669,21-05-2001,449220945,03:03,Released,Pearl Harbor,6.6,1791,History,Romance,War,,,Jerry Bruckheimer Films,Touchstone Pictures,,,United States of America,,
150000000,1858,English,25.468493,27-06-2007,709709780,02:24,Released,Transformers,6.6,4040,Adventure,Science Fiction,Action,,,Paramount Pictures,DreamWorks SKG,Amblin Entertainment,Di Bonaventura Pictures,United States of America,,
155000000,1966,English,39.019229,21-11-2004,167298192,02:55,Released,Alexander,5.6,927,War,History,Action,Adventure,Drama,France 3 Cin\u00e9ma,Intermedia Films,Path\u00e9 Renn Productions,Egmond Film & Television,France,Germany,Italy
150000000,675,English,78.144395,28-06-2007,938212738,02:18,Released,Harry Potter and the Order of the Phoenix,7.4,5494,Adventure,Fantasy,Family,Mystery,,Warner Bros.,Heyday Films,,,United Kingdom,United States of America,
150000000,674,English,101.250416,05-11-2005,895921036,02:37,Released,Harry Potter and the Goblet of Fire,7.5,5608,Adventure,Fantasy,Family,,,Patalex IV Productions Limited,Warner Bros.,Heyday Films,,United Kingdom,United States of America,
150000000,8960,English,56.758411,01-07-2008,624029371,01:32,Released,Hancock,6.2,2961,Fantasy,Action,,,,Columbia Pictures,Weed Road Pictures,Forward Pass,Relativity Media,United States of America,,
150000000,6479,English,70.867401,14-12-2007,585349010,01:41,Released,I Am Legend,6.9,4853,Drama,Horror,Action,Thriller,Science Fiction,Village Roadshow Pictures,Original Film,Weed Road Pictures,Warner Bros.,United States of America,,
150000000,118,English,53.905592,13-07-2005,474968763,01:55,Released,Charlie and the Chocolate Factory,6.7,3624,Adventure,Comedy,Family,Fantasy,,Village Roadshow Pictures,The Zanuck Company,Warner Bros.,Tim Burton Productions,Australia,United Kingdom,United States of America
150000000,2062,English,65.677399,22-06-2007,623722818,01:51,Released,Ratatouille,7.5,4369,Animation,Comedy,Family,Fantasy,,Walt Disney Pictures,Pixar Animation Studios,,,United States of America,,
150000000,272,English,115.040024,10-06-2005,374218673,02:20,Released,Batman Begins,7.5,7359,Action,Crime,Drama,,,DC Comics,Legendary Pictures,Warner Bros.,DC Entertainment,United Kingdom,United States of America,
150000000,10527,English,44.141021,30-10-2008,603900354,01:29,Released,Madagascar: Escape 2 Africa,6.2,1810,Family,Animation,,,,DreamWorks Animation,,,,United States of America,,
150000000,18360,English,81.781591,20-05-2009,413106170,01:45,Released,Night at the Museum: Battle of the Smithsonian,5.9,1971,Adventure,Fantasy,Action,Comedy,Family,Twentieth Century Fox Film Corporation,1492 Pictures,Dune Entertainment,21 Laps Entertainment,United States of America,Canada,
150000000,2080,English,5.954334,28-04-2009,373062864,01:47,Released,X-Men Origins: Wolverine,6.2,4021,Adventure,Action,Thriller,Science Fiction,,Ingenious Film Partners,Twentieth Century Fox Film Corporation,Donners' Company,Dune Entertainment,United States of America,,
150000000,605,English,73.313918,05-11-2003,424988211,02:09,Released,The Matrix Revolutions,6.4,3096,Adventure,Action,Thriller,Science Fiction,,Village Roadshow Pictures,NPV Entertainment,Silver Pictures,Warner Bros.,United States of America,Australia,
150000000,109445,English,165.125366,27-11-2013,1274219009,01:42,Released,Frozen,7.3,5295,Animation,Adventure,Family,,,Walt Disney Pictures,Walt Disney Animation Studios,,,United States of America,,
150000000,604,English,70.78591,15-05-2003,738599701,02:18,Released,The Matrix Reloaded,6.7,3443,Adventure,Action,Thriller,Science Fiction,,Village Roadshow Pictures,NPV Entertainment,Heineken Branded Entertainment,Silver Pictures,Australia,United States of America,
170000000,76338,English,99.499595,29-10-2013,644571402,01:52,Released,Thor: The Dark World,6.8,4755,Action,Adventure,Fantasy,,,Marvel Studios,,,,United States of America,,
150000000,76341,English,434.278564,13-05-2015,378858340,02:00,Released,Mad Max: Fury Road,7.2,9427,Action,Adventure,Science Fiction,Thriller,,Village Roadshow Pictures,Kennedy Miller Productions,Warner Bros.,,Australia,United States of America,
